studentNumber,firstName,lastName,birthDate
10001,Freddy,Crosby,1976-09-25
10002,Santino,Rivers,1995-06-12
10003,Donovan,Osborne,1998-07-25
10004,Jaylin,Riley,1981-09-25
10005,Reilly,Benton,1979-03-26
10006,Daniel,Michael,1975-11-06
10007,Oscar,Lam,1979-06-20
10008,Kian,Gilmore,1991-01-12
10009,Kaylyn,Leach,1975-07-28
10010,Rubi,Kent,1975-03-17
10011,Saul,Watts,1984-10-22
10012,Amanda,Baldwin,1995-04-29
10013,Cameron,Bates,1984-05-24
10014,Walter,Lowe,1984-07-04
10015,Ashleigh,Nixon,1981-08-12
10016,Donavan,Knapp,1985-12-19
10017,Kathy,Hall,1986-06-03
10018,Noe,Mason,1988-06-29
10019,Emerson,Wong,1991-08-12
10020,Dawson,Li,1977-10-24
10021,Cristina,Fernandez,1980-06-12
10022,Trevin,Garcia,1994-08-26
10023,Marissa,Conway,1977-06-10
10024,Rayan,Manning,1992-09-13
10025,Keenan,Palmer,1980-06-06
10026,Jerome,Sutton,1981-09-06
10027,Tatiana,Pearson,1987-08-02
10028,Joaquin,Rollins,1979-09-14
10029,Mariana,Mcclure,1985-12-14
10030,Draven,Stuart,1991-09-11
10031,Taryn,Mata,1981-01-01
10032,Vincent,Lawson,1997-04-04
10033,Hannah,Huerta,1996-12-29
10034,Dallas,Harding,1995-04-13
10035,Audrey,Castaneda,1990-10-10
10036,Malakai,Brooks,1998-06-10
10037,Grayson,Mcmillan,1992-04-12
10038,Justice,Alvarado,1996-01-04
10039,Anastasia,Atkinson,1984-07-29
10040,Garrett,Maynard,1984-09-26
10041,Madalyn,Mercer,1989-08-25
10042,Melissa,Shea,1988-03-15
10043,Maximo,Herman,1999-05-01
10044,Makhi,Harrington,1979-12-02
10045,Julianna,Little,1996-01-03
10046,Gerardo,Johnston,1977-05-13
10047,Cali,Richards,1984-06-25
10048,Aarav,Rhodes,1976-02-21
10049,Destiny,Hampton,1978-10-18
10050,Shaun,Bullock,1994-04-07
10051,Clinton,Hammond,1984-10-23
10052,Maliyah,Hobbs,1983-12-27
10053,Barrett,Contreras,1985-06-20
10054,Dayami,Moran,1983-01-02
10055,Jaiden,Cisneros,1988-09-21
10056,Alexus,Strickland,1999-02-20
10057,Bryson,Kerr,1988-11-12
10058,Jaslene,Juarez,1989-04-07
10059,Corbin,Best,1990-12-07
10060,Brielle,Morton,1995-06-20
10061,Soren,Christian,1993-08-16
10062,Darwin,Duffy,1985-10-17
10063,Chance,Leon,1999-05-11
10064,Arjun,Baird,1988-10-20
10065,Diego,Roberts,1982-04-22
10066,Kasen,Brady,1978-12-18
10067,Matthew,Mckinney,1978-07-13
10068,Rey,Salazar,1993-08-31
10069,Brian,Silva,1983-10-21
10070,Vanessa,Peterson,1993-12-15
10071,Mathias,Chavez,1982-10-14
10072,Ainsley,Jenkins,1992-09-24
10073,Adriana,Wilcox,1990-02-01
10074,Brooke,French,1984-07-07
10075,Adonis,Mann,1982-10-31
10076,Ross,Lindsey,1998-08-22
10077,Dario,Barber,1994-07-12
10078,Kole,Leonard,1992-05-25
10079,Shyla,Woodward,1978-11-27
10080,Eileen,Hendricks,1995-03-20
10081,Payton,Clarke,1988-06-05
10082,Ruth,Cook,1996-10-01
10083,Simeon,Fischer,1978-01-25
10084,Rebecca,Hardy,1981-01-05
10085,Hugh,Costa,1992-10-18
10086,Heather,Zuniga,1981-06-29
10087,Jermaine,Coffey,1976-05-15
10088,Avery,Osborn,1996-09-27
10089,Jairo,Booker,1984-05-19
10090,Libby,Montoya,1977-07-09
10091,Izabelle,Taylor,1991-09-03
10092,Yurem,Dillon,1978-10-27
10093,Rex,White,1979-01-25
10094,Riley,Mckay,1984-01-26
10095,Ryan,Morrison,1989-03-27
10096,Finnegan,Dickson,1987-04-02
10097,Janet,Wagner,1993-12-29
10098,Ayden,Meyers,1984-03-12
10099,Madisyn,Santos,1982-09-11
10100,Javon,Ortega,1983-07-02
